Price Period,Town,Super,Diesel,Kerosene
May 15th 2022 - June 14th 2022,Kabarnet ,150.86,132.04000000000002,120.01
May 15th 2022 - June 14th 2022,Maralal,151.95000000000002,133.13,121.10000000000001
May 15th 2022 - June 14th 2022,Wamba,152.79,133.97,121.93
May 15th 2022 - June 14th 2022,Eldoret,150.53,131.72,119.67
May 15th 2022 - June 14th 2022,Kiplombe,150.53,131.72,119.67
May 15th 2022 - June 14th 2022,Iten,150.53,131.72,119.67
May 15th 2022 - June 14th 2022,Naiberi,150.53,131.72,119.67
May 15th 2022 - June 14th 2022,Kesses,150.53,131.72,119.67
May 15th 2022 - June 14th 2022,Kapsabet,150.54,131.74,119.68
May 15th 2022 - June 14th 2022,Webuye,150.95000000000002,132.15,120.10000000000001
May 15th 2022 - June 14th 2022,Kitale,150.89000000000001,132.08,120.03
May 15th 2022 - June 14th 2022,Kapenguria ,151.52,132.72,120.67
May 15th 2022 - June 14th 2022,Bungoma,151.3,132.48000000000002,120.44000000000001
May 15th 2022 - June 14th 2022,Moiben,150.54,131.74,119.68
May 15th 2022 - June 14th 2022,Matunda,150.52,131.7,119.66000000000001
May 15th 2022 - June 14th 2022,Burnt Forest,150.48000000000002,131.67000000000002,119.62
May 15th 2022 - June 14th 2022,Tambach,150.57,131.76,119.71000000000001
May 15th 2022 - June 14th 2022,Kapsowar,151.04,132.22,120.18
May 15th 2022 - June 14th 2022,Chebara,150.92000000000002,132.10000000000002,120.06
May 15th 2022 - June 14th 2022,Kimwarer,150.84,132.03,119.99000000000001
May 15th 2022 - June 14th 2022,Timboroa,150.77,131.95,119.9
May 15th 2022 - June 14th 2022,Nandi Hills,150.72,131.91000000000003,119.87
May 15th 2022 - June 14th 2022,Kaiboi,150.58,131.77,119.73
May 15th 2022 - June 14th 2022,Kiminini,151.07,132.27,120.21000000000001
May 15th 2022 - June 14th 2022,Endebes,151.43,132.61,120.57000000000001
May 15th 2022 - June 14th 2022,Saboti,151.1,132.29000000000002,120.25
May 15th 2022 - June 14th 2022,Chepareria,151.73000000000002,132.93,120.87
May 15th 2022 - June 14th 2022,Lomut,153.35,134.53,122.49000000000001
May 15th 2022 - June 14th 2022,Burgich,152.15,133.34,121.29
May 15th 2022 - June 14th 2022,Sigor,152.28,133.47,121.42
May 15th 2022 - June 14th 2022,Lodwar,154.71,135.9,123.85000000000001
May 15th 2022 - June 14th 2022,Kakuma,156.3,137.49,125.44000000000001
May 15th 2022 - June 14th 2022,Lokichar,153.71,134.9,122.85000000000001
May 15th 2022 - June 14th 2022,Kalokol,155.47,136.66,124.61
May 15th 2022 - June 14th 2022,Lokori,154.07,135.27,123.22
May 15th 2022 - June 14th 2022,Lokitaung,158.35,139.55,127.49000000000001
May 15th 2022 - June 14th 2022,Kapedo,153.35,134.53,122.49000000000001
May 15th 2022 - June 14th 2022,Malaba,151.70000000000002,132.88,120.84
May 15th 2022 - June 14th 2022,Lokichogio,157.48000000000002,138.68,126.63000000000001
May 15th 2022 - June 14th 2022,Ziwa,150.72,131.91000000000003,119.87
May 15th 2022 - June 14th 2022,Soy,150.53,131.72,119.67
May 15th 2022 - June 14th 2022,Moi's Bridge,150.59,131.78,119.74000000000001
May 15th 2022 - June 14th 2022,Turbo,150.48000000000002,131.67000000000002,119.62
May 15th 2022 - June 14th 2022,Kibish,158.59,139.77,127.73
May 15th 2022 - June 14th 2022,Nakalale,157.41,138.6,126.55000000000001
May 15th 2022 - June 14th 2022,Loima,153.82,135.02,122.97
May 15th 2022 - June 14th 2022,Lokiriama,155.39000000000001,136.59,124.53
May 15th 2022 - June 14th 2022,Kainuk,152.6,133.79,121.74000000000001
May 15th 2022 - June 14th 2022,Kacheliba,151.92000000000002,133.12,121.07000000000001
May 15th 2022 - June 14th 2022,Kiwawa,152.54,133.72,121.68
May 15th 2022 - June 14th 2022,Ortum,152.12,133.31,121.26
May 15th 2022 - June 14th 2022,Kachibora,150.92000000000002,132.10000000000002,120.06
May 15th 2022 - June 14th 2022,Kwanza,151.63,132.82,120.78
