Town,Super,Diesel,Kerosene,Start_Date,End_Date,(Start_Date)Day_of_week,(Start_Date)Day_of_month,(Start_Date)Month_No,(Start_Date)Year,(End_Date)Day_of_week,(End_Date)Day_of_month,(End_Date)Month_No,(End_Date)Year,Date_Range,Duration(Days),Dollar_Price
Kabartonjo,160.36,141.55,129.51,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Tindiret,160.43,141.61,129.57,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
O'lessos,159.59,140.78,128.74,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Kobujoi,159.99,141.19,129.14,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Serem,160.07,141.27,129.21,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Kabiyet,159.53,140.72,128.67,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Cheptulu,159.95,141.15,129.1,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Songor,160.5,141.69,129.65,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Kapcherop,160.13,141.33,129.28,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Sambalat,160.82,142.01,129.97,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Arror,160.47,141.67,129.61,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Tot,160.68,141.87,129.82,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Kaptarakwa,159.72,140.91,128.87,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Kapese,162.67,143.86,131.82,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Kalemngorok,162.07,143.25,131.21,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Marich,161.04,142.24,130.19,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Alale,161.54,142.72,130.68,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Kunyao,161.19,142.39,130.34,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Asilong,160.78,141.98,129.93,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Orolwo,160.82,142.01,129.97,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Sebit,160.77,141.96,129.92,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Morpus,160.68,141.87,129.82,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Chepkorniswo,160.57,141.75,129.71,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Kaibichbich,160.51,141.7,129.66,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Keringet,160.24,141.43,129.39,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Kisumu,159.53,140.7,128.66,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Sondu,159.64,140.8,128.77,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Oyugis,160.11,141.29,129.25,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Kakamega,159.58,140.75,128.72,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Mumias,159.86,141.03,128.99,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Bondo,159.75,140.91,128.88,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Siaya,159.86,141.04,129,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Kericho,160.05,141.21,129.17,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Nyamira,160.1,141.28,129.24,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Kisii,160.41,141.58,129.55,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Sotik,160.24,141.42,129.38,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Keroka,160.43,141.6,129.56,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Busia,160.4,141.57,129.54,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Homabay,160.35,141.52,129.48,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Migori,161.2,142.37,130.34,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Isebania,161.48,142.66,130.62,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Bomet,160.64,141.82,129.78,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Muhoroni,159.77,140.93,128.9,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Mbita,160.34,141.5,129.47,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Mbale,159.53,140.7,128.66,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Etago,160.99,142.15,130.12,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Magenche,161.08,142.26,130.22,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Kilgoris,160.92,142.09,130.06,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Malava,159.9,141.06,129.03,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Lugari,160.29,141.45,129.42,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Rodi Kopany,160.41,141.58,129.55,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Ndhiwa,160.68,141.86,129.82,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Rangwe,160.4,141.57,129.54,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Sindo,160.41,141.58,129.55,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Awasi,159.5,140.66,128.63,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Ahero,159.53,140.7,128.66,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Ugunja,159.96,141.13,129.1,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Asembo,159.62,140.78,128.75,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Usenge,160.09,141.26,129.22,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Harambee,159.57,140.75,128.71,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Muhuru Bay,161.34,142.52,130.48,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Kehancha,161.58,142.75,130.71,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Ntimaru,161.88,143.06,131.02,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Rongo,160.66,141.83,129.8,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Kaspokwony,160.62,141.8,129.75,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Chwele,160.57,141.74,129.7,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Kimilili,160.49,141.67,129.62,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Nambale,160.4,141.57,129.54,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
SioPort,160.39,141.56,129.53,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Port Bunyala,160.44,141.61,129.57,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Funyula,160.26,141.43,129.4,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Ogembo,160.57,141.74,129.7,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Nyangusu,160.83,142,129.96,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Sengera,160.75,141.92,129.88,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Keumbu,160.48,141.64,129.61,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Marani,160.18,141.35,129.31,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Kerina,160.54,141.71,129.68,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Ikonge,159.9,141.07,129.03,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Nyansiongo,160.3,141.47,129.43,6/15/2022,7/14/2022,Wednesday,15,6,2022,Thursday,14,7,2022,2022-06-15 - 2022-07-14,29,117.20
Mombasa,174.98,159.76,143.69,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Kilifi,175.69,160.47,144.41,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Likoni Mainland,175.34,160.11,144.05,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Kwale,175.34,160.11,144.05,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Malindi,175.9,160.67,144.61,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Lungalunga,176.05,160.83,144.76,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Voi,176.46,161.24,145.17,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Taveta,177.86,162.64,146.58,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Lamu,178.27,163.06,147,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Hola,178.57,163.34,147.28,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Mpeketoni,178.27,163.06,147,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Minjila,177.25,162.02,145.96,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Garsen,177.33,162.11,146.05,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Samburu,175.28,160.06,144,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Taru,175.46,160.24,144.18,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Mwatate,176.79,161.57,145.51,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Wundanyi,176.96,161.74,145.68,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Kaloleni,175.13,159.92,143.85,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Marereni,176.56,161.34,145.27,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Nairobi,177.3,162,145.94,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Thika,177.31,162.01,145.94,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Machakos,177.54,162.24,146.18,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Kajiado,177.72,162.42,146.36,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Makuyu,177.59,162.29,146.23,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Muranga,177.82,162.52,146.46,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Sagana,178.05,162.75,146.68,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Embu,178.4,163.1,147.04,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Kerugoya,178.33,163.03,146.97,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Narok,178.69,163.4,147.33,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Nyeri,178.67,163.37,147.31,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Namanga,178.85,163.55,147.48,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Kiganjo,178.64,163.34,147.28,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Chuka,178.93,163.63,147.57,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Kitui,178.84,163.54,147.47,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Mwingi,179.22,163.93,147.86,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Nanyuki,179.23,163.94,147.87,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Nkubu,180.21,164.91,148.84,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Mtito Andei,179.74,164.44,148.38,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Meru,180.4,165.1,149.04,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Isiolo,180.26,164.96,148.89,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Maua,180.85,165.56,149.49,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Garissa,181.47,166.17,150.11,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Marsabit,185.15,169.85,153.79,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Liboi,184.24,168.94,152.87,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Moyale,186.74,171.44,155.37,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Sololo,185.79,170.49,154.43,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Habaswein,184.16,168.86,152.8,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Dadaab,182.85,167.55,151.49,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Tarbaj,186.42,171.12,155.04,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Elwak,188.02,172.72,156.65,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Wajir,186.57,171.27,155.21,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Modogashe,184.3,169,152.94,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Mandera,190.35,175.05,158.98,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Matuu,178.2,162.9,146.84,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Merti,182.65,167.35,151.29,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Oldonyiro,179.67,164.36,148.29,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Eldas,188.34,173.04,156.98,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Bute,185.38,170.08,154.02,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Hadado,183.97,168.67,152.6,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Mai Mahiu,177.42,162.12,146.06,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Doldo,180,164.7,148.63,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Lamuria,179.12,163.82,147.75,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Sipili,179.98,164.68,148.62,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Marimanti,179.61,164.31,148.25,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Mutuobare,178.95,163.65,147.58,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
North Horr,186.11,170.82,154.75,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Maikona,184.73,169.43,153.37,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Kalacha,185.27,169.97,153.91,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Loyangalani,185.34,170.04,153.97,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Turbi,185.14,169.84,153.78,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Laisamis,182.36,167.06,150.98,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Merille,182.05,166.75,150.69,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Korr,183.3,168,151.93,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Nakuru,176.62,161.83,145.79,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Gilgil,176.58,161.79,145.76,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Mogotio,176.57,161.78,145.74,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Molo,176.65,161.86,145.83,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Olenguruone,177.36,162.56,146.53,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Londiani,176.88,162.09,146.05,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Nyahururu,176.87,162.08,146.04,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Archers Post,179.85,165.06,149.03,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Lodosoit,180.95,166.16,150.13,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Naivasha,176.95,162.15,146.11,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Marigat,177.34,162.55,146.51,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Kabarnet ,177.83,163.04,147.01,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Maralal,178.92,164.13,148.1,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Wamba,179.76,164.97,148.93,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Rumuruti,177.41,162.62,146.58,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Eldoret,177.5,162.72,146.67,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Kiplombe,177.5,162.72,146.67,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Iten,177.5,162.72,146.67,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Naiberi,177.5,162.72,146.67,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Kesses,177.5,162.72,146.67,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Kapsabet,177.52,162.74,146.68,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Webuye,177.93,163.15,147.1,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
Kitale,177.86,163.08,147.03,11/15/2022,12/14/2022,Tuesday,15,11,2022,Wednesday,14,12,2022,2022-11-15 - 2022-12-14,29,121.90
