Town,Super,Diesel,Kerosene,Start_Date,End_Date,(Start_Date)Day_of_week,(Start_Date)Day_of_month,(Start_Date)Month_No,(Start_Date)Year,(End_Date)Day_of_week,(End_Date)Day_of_month,(End_Date)Month_No,(End_Date)Year,Date_Range,Duration(Days),Dollar_Price
Meru,180.4,165.1,149.04,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Isiolo,180.26,164.96,148.89,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Maua,180.85,165.56,149.49,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Garissa,181.47,166.17,150.11,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Marsabit,185.15,169.85,153.79,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Liboi,184.24,168.94,152.87,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Moyale,186.74,171.44,155.37,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Sololo,185.79,170.49,154.43,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Habaswein,184.16,168.86,152.8,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Dadaab,182.85,167.55,151.49,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Tarbaj,186.42,171.12,155.04,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Elwak,188.02,172.72,156.65,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Wajir,186.57,171.27,155.21,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Modogashe,184.3,169,152.94,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Mandera,190.35,175.05,158.98,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Matuu,178.2,162.9,146.84,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Merti,182.65,167.35,151.29,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Oldonyiro,179.67,164.36,148.29,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Eldas,188.34,173.04,156.98,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Bute,185.38,170.08,154.02,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Hadado,183.97,168.67,152.6,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Mai Mahiu,177.42,162.12,146.06,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Doldo,180,164.7,148.63,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Lamuria,179.12,163.82,147.75,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Sipili,179.98,164.68,148.62,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Marimanti,179.61,164.31,148.25,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Mutuobare,178.95,163.65,147.58,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
North Horr,186.11,170.82,154.75,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Maikona,184.73,169.43,153.37,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Kalacha,185.27,169.97,153.91,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Loyangalani,185.34,170.04,153.97,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Turbi,185.14,169.84,153.78,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Laisamis,182.36,167.06,150.98,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Merille,182.05,166.75,150.69,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Korr,183.3,168,151.93,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Nakuru,176.62,161.83,145.79,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Gilgil,176.58,161.79,145.76,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Mogotio,176.57,161.78,145.74,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Molo,176.65,161.86,145.83,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Olenguruone,177.36,162.56,146.53,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Londiani,176.88,162.09,146.05,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Nyahururu,176.87,162.08,146.04,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Archers Post,179.85,165.06,149.03,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Lodosoit,180.95,166.16,150.13,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Naivasha,176.95,162.15,146.11,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Marigat,177.34,162.55,146.51,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Kabarnet ,177.83,163.04,147.01,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Maralal,178.92,164.13,148.1,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Wamba,179.76,164.97,148.93,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Rumuruti,177.41,162.62,146.58,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Eldoret,177.5,162.72,146.67,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Kiplombe,177.5,162.72,146.67,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Iten,177.5,162.72,146.67,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Naiberi,177.5,162.72,146.67,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Kesses,177.5,162.72,146.67,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Kapsabet,177.52,162.74,146.68,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Webuye,177.93,163.15,147.1,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Kitale,177.86,163.08,147.03,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Kapenguria ,178.5,163.72,147.67,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Bungoma,178.26,163.48,147.44,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Moiben,177.52,162.74,146.68,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Matunda,177.49,162.7,146.66,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Burnt Forest,177.45,162.67,146.62,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Tambach,177.54,162.76,146.71,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Kapsowar,178,163.22,147.18,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Chebara,177.89,163.1,147.06,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Kimwarer,177.81,163.03,146.99,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Timboroa,177.73,162.95,146.9,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Nandi Hills,177.69,162.91,146.87,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Kaiboi,177.55,162.77,146.73,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Kiminini,178.05,163.27,147.21,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Endebes,178.39,163.61,147.57,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Saboti,178.07,163.29,147.25,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Chepareria,178.71,163.93,147.87,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Lomut,180.33,165.53,149.49,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Burgich,179.12,164.34,148.29,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Sigor,179.25,164.47,148.42,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Lodwar,181.68,166.9,150.85,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Kakuma,183.27,168.49,152.44,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Lokichar,180.68,165.9,149.85,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Kalokol,182.44,167.66,151.61,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Lokori,181.05,166.27,150.22,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Lokitaung,185.33,170.55,154.49,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
